Emission Date,Refining of mineral oil,Metal ore roasting or sintering,Production or processing of ferrous metals,Production of Pig iron or steel,Production or processing of non-ferrous metals,Primary aluminum production,Secondary aluminum production,Production of cement clinker,Production of lime or calcination of dolomite/magnesite,Manufacture of glass,Ceramic production,Mineral wool manufacturing,Production or processing of gypsum or plasterboard,Production of pulp,Paper or cardboard,Production of Carbon black,Production of coke oven,Production of Nitric acid,Production of Adipic acid,Production of Bulk chemicals,Production of Soda ash and sodium bicarbonate,Production of Hydrogen and synthesis gas
2019-01-01,221455,5121,19052,217282,12349,9545,2242,206138,51490,32261,27201,3475,1887,8811,36013,3169,11441,7366,202,56109,7945,14609
2019-01-02,270142,6120,22736,263995,14954,11545,2758,248814,61983,39460,33800,4284,2305,10634,43434,3782,13985,8826,242,67321,9513,17495
2019-01-03,295352,6891,25653,290296,16522,12777,2979,276196,69070,42975,35980,4612,2516,11806,48268,4267,15244,9900,272,75372,10682,19641
2019-01-04,283549,6342,23537,276410,15625,12054,2910,259445,64521,41488,35879,4527,2420,11088,45267,3915,14699,9161,251,69933,9869,18152
2019-01-05,254990,5722,21242,248728,14068,10855,2613,233710,58146,37293,32172,4064,2176,9988,40782,3533,13214,8262,227,63057,8902,16372
2019-01-06,250828,5892,21942,246862,14065,10882,2523,235380,58915,36464,30364,3902,2136,10062,41146,3650,12937,8457,233,64358,9127,16781
2019-01-07,295846,6724,24984,289291,16395,12660,3016,272931,68019,43197,36912,4684,2523,11665,47650,4155,15311,9693,266,73915,10448,19214
2019-01-08,300713,6582,24390,291945,16447,12673,3112,272158,67490,44119,38751,4852,2570,11631,47446,4056,15622,9536,261,72895,10264,18882
2019-01-09,312382,7032,26111,304895,17253,13315,3197,286774,71378,45668,39306,4970,2666,12256,50048,4343,16183,10150,278,77446,10937,20114
2019-01-10,350681,8447,31512,346886,19846,15376,3489,333456,83738,50804,41429,5380,2983,14256,58346,5242,18039,12086,333,91837,13056,24001
2019-01-11,327599,7599,28274,321616,18287,14137,3312,305413,76318,47705,40128,5132,2792,13055,53362,4703,16919,10925,300,83203,11785,21670
2019-01-12,274858,6211,23069,268469,15201,11734,2809,252822,62959,40162,34468,4365,2345,10806,44129,3837,14233,8960,246,68354,9656,17759
2019-01-13,259255,5937,22072,253883,14406,11129,2635,240106,59898,37817,32129,4089,2211,10263,41931,3671,13407,8550,235,65168,9219,16953
2019-01-14,318307,7319,27217,311958,17713,13687,3230,295413,73734,46406,39303,5009,2714,12627,51598,4527,16454,10534,289,80274,11360,20890
2019-01-15,320851,7316,27192,313943,17802,13749,3267,296504,73926,46828,39914,5071,2736,12673,51772,4523,16600,10542,289,80377,11365,20901
2019-01-16,321811,7396,27504,315367,17905,13835,3266,298601,74526,46919,39750,5066,2743,12763,52154,4575,16636,10647,292,81131,11481,21112
2019-01-17,317658,7253,26960,310901,17633,13620,3233,293756,73254,46354,39469,5017,2709,12556,51295,4484,16432,10450,287,79663,11266,20718
2019-01-18,350605,8481,31648,347109,19873,15400,3482,334132,83954,50763,41245,5366,2981,14285,58474,5264,18027,12128,334,92134,13103,24088
2019-01-19,293656,6867,25565,288754,16440,12715,2959,274923,68771,42716,35701,4580,2501,11752,48050,4252,15153,9862,271,75072,10642,19567
2019-01-20,283118,6798,25354,279871,16003,12397,2821,268756,67462,41034,33554,4352,2408,11489,47019,4217,14568,9730,268,73949,10509,19321
2019-01-21,369141,9180,34317,367548,21140,16408,3621,357014,90026,53237,42205,5560,3134,15265,62544,5709,18922,13083,361,99222,14148,26005
2019-01-22,368531,9004,33623,365604,20966,16257,3644,353083,88831,53283,42917,5608,3132,15095,61814,5593,18928,12861,355,97638,13899,25550
2019-01-23,382308,9503,35525,380625,21890,16991,3750,369666,93211,55139,43730,5759,3246,15805,64760,5910,19598,13545,374,102726,14647,26922
2019-01-24,391183,9821,36736,390269,22482,17460,3820,380268,96007,56338,44273,5858,3320,16259,66642,6111,20030,13980,386,105969,15124,27796
2019-01-25,350517,8428,31436,346594,19823,15357,3490,332977,83597,50793,41486,5383,2981,14235,58258,5229,18034,12061,332,91656,13028,23950
2019-01-26,274051,6224,23128,267946,15184,11724,2795,252742,62982,40018,34212,4340,2338,10802,44124,3847,14184,8974,246,68434,9673,17789
2019-01-27,267205,6192,23038,262274,14910,11526,2703,248982,62208,38916,32760,4188,2277,10643,43501,3832,13802,8903,245,67810,9604,17659
2019-01-28,373029,9400,35168,372445,21469,16677,3636,363338,91776,53694,42051,5574,3165,15536,63684,5850,19093,13375,370,101356,14471,26595
2019-01-29,415047,10954,41100,418526,24315,18939,3956,414587,105346,59327,44372,6023,3513,17730,72794,6838,21128,15501,430,117158,16798,30863
2019-01-30,409642,10668,39996,411882,23874,18581,3931,406207,103041,58675,44492,5996,3469,17371,71287,6654,20886,15120,419,114366,16378,30093
2019-01-31,403458,10433,39097,405048,23450,18243,3885,398533,101003,57851,44181,5932,3418,17042,69921,6504,20588,14799,410,111984,16026,29449
2019-02-01,414280,10397,38855,417779,23982,18578,4116,411385,103674,60671,48239,6421,3611,17438,71440,6480,21177,14864,410,112760,16072,29541
2019-02-02,344453,8434,31470,345612,19759,15285,3460,337603,84809,50622,41132,5415,3006,14309,58572,5248,17656,12095,333,91890,13067,24021
2019-02-03,329666,8167,30495,331564,18992,14702,3295,325111,81795,48369,38905,5148,2875,13781,56430,5086,16876,11695,323,88785,12639,23233
2019-02-04,373184,8774,32646,371405,21093,16278,3815,358058,89471,55149,46337,6000,3263,15174,62024,5444,19211,12647,348,96323,13643,25086
2019-02-05,421280,10684,39955,425769,24484,18978,4165,420698,106166,61603,48510,6488,3670,17834,73086,6664,21510,15255,421,115656,16501,30327
2019-02-06,394817,9664,36056,396113,22644,17517,3967,386881,97183,58026,47165,6208,3446,16398,67120,6013,20238,13859,382,105290,14972,27523
2019-02-07,380000,9152,34112,380010,21666,16745,3845,369222,92552,55973,46118,6030,3319,15649,64017,5689,19513,13152,362,100022,14200,26107
2019-02-08,356280,8305,30886,353992,20076,15487,3655,340343,84949,52710,44583,5754,3117,14423,58937,5151,18357,11986,329,91332,12925,23768
